Part,Part Name,Role,"Form Page (even, left)","Diagram Page (odd, right)",Tier,Item,Spread Goal,Diagram Page Content,Form Page Fields,Base View
F,Flow,Spread,F208,F209,Advanced,Whole-house filtration,Filter at the front door,Filtration stages diagram,Stages; cartridge sizes; changed dates,Cutaway
F,Flow,Spread,F210,F211,Advanced,Drinking water filtration (RO),The purest tap in the house,RO stages diagram (sediment→carbon→membrane),Model; filter schedule; membrane date; sanitized,Cutaway
F,Flow,Spread,F212,F213,Advanced,Bidet & washlets,Plumbing's comfort upgrade,"Bidet seat hookup diagram (tee valve, power)",Locations; model; GFCI nearby; filter,Cutaway
F,Flow,Spread,F214,F215,Advanced,Septic tank,The private treatment plant,"Septic tank cutaway (baffles, scum, sludge layers)",Size; location map; pumped dates; riser Y/N,Exterior
F,Flow,Spread,F216,F217,Advanced,Leach field,Where water returns to earth,"Leach field cross-section (trenches, biomat)",Location map; installed; wet spots watch list,Exterior
F,Flow,Spread,F218,F219,Advanced,Sump pump,The basement's lifeguard,"Sump pit diagram (pump, float, check valve, discharge)",Model; tested date; battery backup Y/N; discharge point,Cutaway
F,Flow,Spread,F220,F221,Advanced,Rain barrels,Harvest at the downspout,"Rain barrel hookup diagram (diverter, overflow)",Barrels; capacity; mosquito screens; winter drain,Exterior
F,Flow,Spread,F222,F223,Advanced,Humidifier,Add moisture in winter,Bypass humidifier on-furnace diagram,Model; target %; pad changed,Cutaway
F,Flow,Spread,F224,F225,Advanced,Dehumidifier,Dry the damp,How dehumidification works diagram,Model; target %; drain setup; cleaned,Cutaway
F,Flow,Spread,F226,F227,Advanced,Heat pump,Heat that runs both ways,Reversing cycle diagram (heat vs cool mode),Model; age; backup heat type; defrost notes,Exterior
F,Flow,Spread,F400,F401,Professional,Cistern / rain harvesting,Store the sky,Harvest system diagram (roof→first flush→tank),Capacity; uses; screens cleaned,Exterior
F,Flow,Spread,F402,F403,Professional,UV treatment,Light that disinfects,UV chamber diagram,Model; lamp replaced; sleeve cleaned,Cutaway
F,Flow,Spread,F404,F405,Professional,Recirculation loop,"Hot water, instantly","Recirculation loop diagram (pump, return line)",Pump model; timer settings,Cutaway
F,Flow,Spread,F406,F407,Professional,Solar thermal hot water,Sun-heated water,Solar thermal loop (collector→exchanger→tank),Collector size; glycol checked; serviced,Cutaway
F,Flow,Spread,F408,F409,Professional,Greywater reuse,Use water twice,Greywater diverter diagram (laundry→landscape),System type; what's diverted; permit,Exterior
F,Flow,Spread,F410,F411,Professional,Sewage ejector pump,Pumping uphill when gravity can't,"Ejector pit diagram (pump, vent, check valve)",Model; basin location; tested; alarm Y/N,Cutaway
F,Flow,Spread,F412,F413,Professional,French drains,Drainage you can't see,"French drain cross-section (fabric, gravel, pipe)",Runs map; outlets; flushed,Exterior
F,Flow,Spread,F414,F415,Professional,Mini-splits,"Zoned comfort, no ducts","Mini-split anatomy (head, line set, condenser)",Zones and heads; model; filters washed,Cutaway
F,Flow,Spread,F416,F417,Professional,Window units,Cooling one room at a time,BTU sizing chart by room size,Units; BTUs; rooms; storage location,Cutaway
F,Flow,Spread,F418,F419,Professional,Whole-house fan,Cool with the evening,Airflow diagram (windows→attic),Model; CFM; winter cover; run rules,Cutaway
F,Flow,Spread,F420,F421,Professional,ERV / HRV ventilation,Fresh air without losing heat,Heat-exchange core diagram,Model; CFM; cores cleaned; filters,Cutaway
G,Guard,Part opener,G000,G001,Basic,Guard,See every layer of protection at its post,"Cutaway + exterior composite, ghosted; locks, detectors, cameras, extinguishers, and escape routes marked at their stations. Reader interaction on the opener: Mark your device locations; identify uncovered zones.",,Overlay
G,Guard,Spread,G002,G003,Basic,Door locks & deadbolts,Understand what makes a door secure,"Deadbolt anatomy (bolt, strike plate, reinforcement)",Doors and lock types; rekeyed date; spare key plan,Cutaway
G,Guard,Spread,G004,G005,Basic,Window locks,"The most common entry, closed",Window lock types chart,Locks checked per window; reinforcements,Cutaway
G,Guard,Spread,G006,G007,Basic,Surveillance cameras,See your property's blind spots,Camera coverage map of the property,"Cameras (location, type); app; blind spots",Exterior
G,Guard,Spread,G008,G009,Basic,Video recording & storage,Footage that's there when needed,Local vs cloud storage diagram,Retention days; storage type; checked date,Cutaway
G,Guard,Spread,G010,G011,Basic,Doorbell camera,"The front door, always answered","Doorbell wiring (transformer, chime) diagram",Model; wired or battery; storage plan,Exterior
G,Guard,Spread,G012,G013,Basic,Smoke detectors,Three minutes to escape,Placement code diagram (per floor and bedroom); ionization vs photoelectric chart,Locations; types; battery date; replace-by year,Cutaway
G,Guard,Spread,G014,G015,Basic,CO detectors & air monitoring,"The invisible threat, detected",CO sources in a home diagram,Locations; replace-by dates; alarm response posted; monitors; normal readings; alert thresholds,Cutaway
G,Guard,Spread,G016,G017,Basic,Fire extinguishers,The first sixty seconds of a fire,PASS technique illustration; ABC class chart,Locations; classes; gauge checks; expiry,Cutaway
G,Guard,Spread,G018,G019,Basic,Fire sprinkler system,The always-on firefighter,Sprinkler head anatomy; system riser diagram,System type; valve location; inspection date,Cutaway
G,Guard,Spread,G020,G021,Basic,Escape Routes,Two ways out of everywhere,Floor plan with escape arrows per room,Routes per room; meeting point; ladder locations; drill date,Cutaway
G,Guard,Spread,G022,G023,Basic,Emergency kit,"72 hours, ready","Kit contents diagram (water, food, light, meds)",Location; contents date; rotation due,Cutaway
G,Guard,Spread,G024,G025,Basic,Storm preparedness,Before the sky turns,Storm timeline (watch→warning→shelter),Shelter spot; supplies; trees trimmed; shutters,Cutaway
G,Guard,Spread,G026,G027,Basic,Power outage plan,"Dark house, calm family","Outage decision tree (fridge rules, generator start)",Flashlight spots; fridge rules; generator steps,Cutaway
G,Guard,Spread,G028,G029,Basic,Evacuation plan,"Leave fast, leave right",Go-bag contents; evacuation route map,Routes; go-bag location; document grab list; meeting point,Cutaway
G,Guard,Spread,G030,G031,Basic,Visitors: Invertebrates,Recognize the invertebrate visitors around the property and record the ones encountered,Existing 609 Visitors 1 identification artwork. Replace printed legacy code 609 with C103 and replace the printed paired-form reference with C102.,PROPOSED FOR REVIEW: visitors observed; location; date or season; notes,Exterior
G,Guard,Spread,G032,G033,Basic,"Visitors: Reptiles, Amphibians & Fish","Recognize reptile, amphibian, and fish visitors around the property and record the ones encountered",Existing 609 Visitors 2 identification artwork. Replace printed legacy code with C105 and replace the printed paired-form reference with C104.,PROPOSED FOR REVIEW: visitors observed; location; date or season; notes,Exterior
G,Guard,Spread,G034,G035,Basic,Visitors: Birds,Recognize bird visitors around the property and record the ones encountered,Existing 609 Visitors 3 identification artwork. Replace printed legacy code with C107 and replace the printed paired-form reference with C106.,PROPOSED FOR REVIEW: visitors observed; location; date or season; notes,Exterior
G,Guard,Spread,G036,G037,Basic,Visitors: Small Mammals,Recognize small-mammal visitors around the property and record the ones encountered,Existing 609 Visitors 4 identification artwork. Replace printed legacy code with C109 and replace the printed paired-form reference with C108.,PROPOSED FOR REVIEW: visitors observed; location; date or season; notes,Exterior
G,Guard,Spread,G038,G039,Basic,Visitors: Big Mammals,Recognize big-mammal visitors around the property and record the ones encountered,Existing 609 Visitors 5 identification artwork. Replace printed legacy code with C111 and replace the printed paired-form reference with C110.,PROPOSED FOR REVIEW: visitors observed; location; date or season; notes,Exterior
G,Guard,Spread,G200,G201,Advanced,Alarm system,Know your system end to end,Alarm architecture (sensors→panel→monitoring),Provider; code holders; tested; monitoring number,Cutaway
G,Guard,Spread,G202,G203,Advanced,Motion detectors,Sensing intelligently,PIR coverage cone diagram; pet-immune zones,Locations; sensitivity; tested,Cutaway
G,Guard,Spread,G204,G205,Advanced,Childproofing,A house safe at toddler height,"Hazard map at child height (outlets, cords, stairs, anchors)",Gates; anchored furniture; cabinet locks; outlet covers,Cutaway
G,Guard,Spread,G206,G207,Advanced,Radon mitigation,The basement's invisible gas,Sub-slab depressurization diagram,Last test result; system Y/N; fan check,Cutaway
G,Guard,Spread,G400,G401,Professional,Safe,Protect the irreplaceable,Fire rating vs burglary rating chart,Rating; location; bolted Y/N; contents list location,Cutaway
G,Guard,Spread,G402,G403,Professional,Driveway alarm & sensors,Know when anyone arrives,Sensor beam placement diagram,Sensors; range; chime locations,Exterior
G,Guard,Spread,G404,G405,Professional,Storm shelter / safe room,The room that outlasts the storm,Safe room construction standards diagram,Location; rating; supplies inside; family drill,Exterior
G,Guard,Spread,G406,G407,Professional,Lightning rods & grounding,Take the strike safely,Lightning protection path (rod→conductor→ground),System Y/N; components; inspected,Exterior
H,Home,Part opener,H000,H001,Basic,Home,See where daily life runs through the machines,"Cutaway master view, ghosted; kitchen, laundry, food storage, and waste paths highlighted as activity zones. Reader interaction on the opener: Mark your appliance locations and waste flow.",,Overlay
H,Home,Spread,H002,H003,Basic,Refrigerator,Cold storage as a system,Refrigeration cycle diagram; zone temperature map (where food goes),Brand/model; temps set; coils cleaned; filter changed,Cutaway
H,Home,Spread,H004,H005,Basic,Range & oven,The most-used machine in the kitchen,"Range anatomy (burners, igniters, oven elements)",Fuel type; brand and model; self-clean rules; serviced,Cutaway
H,Home,Spread,H006,H007,Basic,Kitchen range hood,Capture the cooking air,Ducted vs recirculating diagram,Type; CFM; filters degreased,Cutaway
H,Home,Spread,H008,H009,Basic,Dishwasher,Clean dishes by system,"Dishwasher anatomy (spray arms, filter, drain loop)",Brand and model; filter cleaned; air gap Y/N; hose age,Cutaway
H,Home,Spread,H010,H011,Basic,Garbage disposal,The drain's grinder,"Disposal cutaway (impellers, reset, hex socket)",Model; never-list posted; unjam tool location,Cutaway
H,Home,Spread,H012,H013,Basic,Pantry,Rotation beats expiration,FIFO rotation diagram; storage life chart,Layout zones; staples list; pest checks,Cutaway
H,Home,Spread,H014,H015,Basic,Washer,"The wash, demystified","Washer anatomy (drum, pump, hoses)",Brand/model; hose age; gasket cleaned; filter,Cutaway
H,Home,Spread,H016,H017,Basic,Dryer,"Heat, tumble, exhaust","Dryer anatomy (element, belt, lint path)",Brand/model; vent cleaned; lint habits,Cutaway
H,Home,Spread,H018,H019,Basic,Dryer vent,The fire risk you can clean,Vent path diagram (dryer→exterior flap),Route length; material; cleaned date,Cutaway
H,Home,Spread,H020,H021,Basic,Laundry sink & drain,The utility workhorse,Standpipe and trap diagram,Sink type; trap cleaned; faucet,Cutaway
H,Home,Spread,H022,H023,Basic,Ironing & care,Care for what you wear,Fabric temperature chart,Equipment; descaled; station location,Cutaway
H,Home,Spread,H024,H025,Basic,Trash collection,"Waste out, on schedule","Collection logistics map (cans, pickup point)",Pickup days; can sizes; rules,Exterior
H,Home,Spread,H026,H027,Basic,Recycling,Sort it right,Local sorting rules chart,Accepted items; schedule; contamination notes,Cutaway
H,Home,Spread,H028,H029,Basic,Pets,The house systems your animals use,"Pet infrastructure map (doors, fence, feeding, waste)",Pets; vet contact; containment; pet door locations; licenses,Cutaway
H,Home,Spread,H030,H031,Basic,Package & courier deliveries,Receive safely in the delivery age,"Delivery zone diagram (porch box, locker, camera view)",Drop spot; delivery instructions; parcel box; theft plan,Exterior
H,Home,Spread,H032,H033,Basic,Garage interior & organization,The hardest-working room,"Garage zones diagram (wall systems, overhead racks)",Zones; wall system; overhead storage; hazardous items stored right,Cutaway
H,Home,Spread,H200,H201,Advanced,Freezer (standalone/chest),"Deep cold, organized",Chest vs upright airflow diagram,Type; temp; defrosted; inventory location,Cutaway
H,Home,Spread,H202,H203,Advanced,Canning,"Preserve safely, by science",Water bath vs pressure canning decision chart,Equipment; gauge tested; recipe log location,Cutaway
H,Home,Spread,H204,H205,Advanced,Houseplants,The indoor garden,Window light zones map of the house,Plants; watering schedule; toxic-to-pets flags,Cutaway
H,Home,Spread,H206,H207,Advanced,Robot vacuum & floor care,Floors on autopilot,Robot navigation and no-go zones map,Model; schedule; bin and filter care; no-go zones,Cutaway
H,Home,Spread,H208,H209,Advanced,Aquarium,A sealed ecosystem indoors,Nitrogen cycle diagram; equipment loop,Tank size; livestock; water change schedule; test log,Cutaway
H,Home,Spread,H400,H401,Professional,Root cellar,Store food the old way,Root cellar venting and humidity diagram,Location; temp/humidity range; what-stores-well log,Cutaway
H,Home,Spread,H402,H403,Professional,Smoking & curing,Flavor and preservation by smoke,Cold vs hot smoking temperature chart,Smoker type; cures used; food safety notes,Cutaway
H,Home,Spread,H404,H405,Professional,Drying & dehydrating,"Remove water, keep the food",Dehydrator airflow diagram,Equipment; dried goods storage; conditioning notes,Cutaway
H,Home,Spread,H406,H407,Professional,Fermenting,Living preservation,"Fermentation vessel anatomy (airlock, brine line)",Vessels; active ferments log; troubleshooting notes,Cutaway
H,Home,Spread,H408,H409,Professional,Vacuum sealing,Air is the enemy,Sealer types comparison,Model; bag inventory; gasket checked,Cutaway
H,Home,Spread,H410,H411,Professional,Specialty refrigeration (wine/beverage/kegerator),Cold for connoisseurs,Wine temperature zones chart,Units; temps; condenser cleaned,Cutaway
H,Home,Spread,H412,H413,Professional,Central vacuum,Suction in the walls,Central vac piping diagram,Power unit location; inlets; canister emptied,Cutaway
H,Home,Spread,H414,H415,Professional,Laundry chute,Gravity does the laundry,Chute routing and fire-door diagram,Route; door latches; cleaned,Cutaway
H,Home,Spread,H416,H417,Professional,Dumbwaiter,The smallest elevator,"Dumbwaiter mechanism (cables, guides)",Capacity; inspected; lubricated,Cutaway
H,Home,Spread,H418,H419,Professional,Home gym,Train where you live,Floor load and layout diagram,Equipment; flooring; mirrors anchored,Cutaway
I,Information,Part opener,I000,I001,Basic,Information,Trace the invisible network that ties it all together,"Cutaway master view, ghosted; data lines traced from service entry through router to every device; wireless coverage shading. Reader interaction on the opener: Mark your service entry, router location, and dead zones.",,Overlay
I,Information,Spread,I002,I003,Basic,Internet service & modem,Where the internet enters,Service entry diagram (line→modem→router),ISP; plan speed; modem model; account #,Cutaway
I,Information,Spread,I004,I005,Basic,Router & WiFi,"Your airwaves, mapped",WiFi coverage heat map of the house,Router model; SSID; password location; dead zones,Cutaway
I,Information,Spread,I006,I007,Basic,Televisions & media devices,The screens and their feeds,AV connection diagram (sources to TV to sound),TVs; mounts secured; devices; remotes and apps,Cutaway
I,Information,Spread,I008,I009,Basic,Cable TV wiring,The coax tree,Splitter tree diagram (signal loss per split),Outlets; splitter locations; provider,Cutaway
I,Information,Spread,I200,I201,Advanced,Home office & tech,The room work lives in,Ergonomics plus power and data diagram,Equipment; backup power; network drops; ergonomic setup,Cutaway
I,Information,Spread,I202,I203,Advanced,Ethernet wiring,The wired backbone,Home network topology diagram,Jack locations; cable category; patch panel location,Cutaway
I,Information,Spread,I204,I205,Advanced,Satellite internet (Starlink),Broadband from orbit,Dish sightline and obstruction diagram,Provider; dish location; mount; speeds; cable route,Exterior
I,Information,Spread,I206,I207,Advanced,Smart home hub,One brain for the house,"Protocol diagram (WiFi, Zigbee, Z-Wave, Matter)",Hub model; protocol; device count,Cutaway
I,Information,Spread,I208,I209,Advanced,Smart thermostats,Climate that learns,Smart thermostat wiring (C-wire) diagram,Model; schedules; sensors paired,Cutaway
I,Information,Spread,I210,I211,Advanced,Smart locks,Keys become codes,Smart lock mechanism diagram,Doors; code log; batteries,Cutaway
I,Information,Spread,I212,I213,Advanced,Smart lighting,Light on command,Smart switch vs smart bulb decision diagram,Devices; scenes set; hub link,Cutaway
I,Information,Spread,I214,I215,Advanced,Voice assistants,Speak to the house,Voice ecosystem diagram (assistant→hub→devices),Devices; rooms; privacy mute policy,Cutaway
I,Information,Spread,I216,I217,Advanced,Digital accounts & passwords,The home's digital keyring,"Account map (utilities, devices, services)",Password manager; shared access; recovery contacts,Document Desk
I,Information,Spread,I400,I401,Professional,Smart sensors,The house that notices,"Sensor placement map (leak, motion, door)",Sensors; locations; batteries; automations,Cutaway
I,Information,Spread,I402,I403,Professional,Antenna (OTA),Free TV from the air,Antenna types and range chart,Type; channels received; aim direction,Exterior
I,Information,Spread,I404,I405,Professional,Satellite dish,Signal from space,Dish aiming diagram (azimuth/elevation),Dish location; receivers; provider,Exterior
I,Information,Spread,I406,I407,Professional,Cellular signal booster,Bars in every room,"Booster system diagram (outside antenna, amp, inside)",Model; carrier bands; antenna locations,Cutaway
I,Information,Spread,I408,I409,Professional,Home server / NAS,The family's private cloud,"Backup topology diagram (devices, NAS, offsite)",Model; capacity; backup schedule; offsite copy,Cutaway
I,Information,Spread,I410,I411,Professional,Weather station,Your yard's own forecast,"Station siting diagram (height, exposure)",Model; sensors; data service; calibrated,Exterior
I,Information,Spread,I412,I413,Professional,Home theater & media room,The room built for the screen,Speaker placement diagram (5.1 and 7.1),Equipment; calibrated; lighting control,Cutaway
I,Information,Spread,I414,I415,Professional,Intercom,Talk through the walls,Intercom wiring diagram,System type; stations; working Y/N,Cutaway
X,Extension,Part opener,X000,X001,Basic,Extension,One place where every system meets — the pages you'll open most,"Exterior + cutaway composite, ghosted, with callout lines to each dashboard spread (shutoffs, contacts, schedule). Reader interaction on the opener: How the appendix cross-references part codes throughout the book.",,Overlay
X,Extension,Spread,X002,X003,Basic,Master shutoff map,"Stop water, gas, and power in seconds","Floor plan marking water main, gas valve, main breaker",Water main location; gas valve location; main breaker location; tools needed,Document Desk
X,Extension,Spread,X004,X005,Basic,Emergency contacts,Every number when seconds matter,One-page contact card layout,Utility emergency lines; nearest hospital; neighbors; family; key holders,Document Desk
X,Extension,Spread,X006,X007,Basic,Master utility account list,Every account on one spread,Utility connection points map of the house,Provider; account #; monthly average; autopay Y/N; contact (per utility),Document Desk
X,Extension,Spread,X008,X009,Basic,Master contractor directory,The right pro in one glance,Trades wheel (which trade fixes which problem),Trade; name; phone; used for; rating; notes,Document Desk
X,Extension,Spread,X010,X011,Basic,Master warranty index,Never let a warranty lapse unseen,Sample master index table layout,Item; brand; purchase date; warranty end; registered Y/N; document location,Document Desk
X,Extension,Spread,X012,X013,Basic,Maintenance schedule,The rhythm of care for the whole house,Annual task wheel by month and system,Task; frequency; last done; next due,Document Desk
X,Extension,Spread,X014,X015,Basic,Maintenance budget,Know what upkeep really costs,Stacked bar of annual costs by system; reserve-fund gauge,Annual budget; reserve balance; actuals by system,Document Desk
X,Extension,Spread,X016,X017,Basic,Spring maintenance checklist,One spread that runs your whole spring,Annual calendar wheel with spring tasks highlighted by system,Tasks completed; dates; findings; costs,Document Desk
X,Extension,Spread,X018,X019,Basic,Summer maintenance checklist,One spread that runs your whole summer,Annual calendar wheel with summer tasks highlighted by system,Tasks completed; dates; findings; costs,Document Desk
X,Extension,Spread,X020,X021,Basic,Fall maintenance checklist,One spread that runs your whole fall,Annual calendar wheel with fall tasks highlighted by system,Tasks completed; dates; findings; costs,Document Desk
X,Extension,Spread,X022,X023,Basic,Winter maintenance checklist,One spread that runs your whole winter,Annual calendar wheel with winter tasks highlighted by system,Tasks completed; dates; findings; costs,Document Desk
X,Extension,Spread,X024,X025,Basic,Glossary of trades & terms,"Speak plumber, electrician, and roofer",Illustrated mini-glossary spreads (the 100 words contractors use),Terms learned; your own notes and local terms,Document Desk
